Ubicación Tecnica	Descripción
PRFSC565	SOPLADOR PARED 2 C5
PRFSC567	UNIDAD DE FILTRACION PLATAFORMA
PRFSC6		CALDERA 6
PRFSC601	CALDERA N.6
PRFSC602	TK CRUDO CASTILLA
PRFSC603	VEN TIRO FOR C6
PRFSC605	MBBA1 ALIMEN C6
PRFSC606	MBBA2 ALIMEN C6
PRFSC607	CALENT AIRE C6                
PRFSC609	SOPLA1 RETRA C6
PRFSC610	SOPLA2 RETRA C6
PRFSC611	BBA 1 CRUDO C6
PRFSC612	BBA 2 CRUDO C6
PRFSC613	CALENTADOR CRU DO 1           
PRFSC615	CALENTADOR CRU DO 2           
PRFSC617	BBA QUIMICOS GC
PRFSC619	ALUMB. C6                     
PRFSC621	INST C6                       
PRFSC7		CALDERA 7
PRFSC701	CALDERA 7              
PRFSC702	SOPLADOR-1               
PRFSC703	SOPLADOR-2           
PRFSC704	SOPLADOR-3          
PRFSC705	SOPLADOR-4           
PRFSC706	SOPLADOR-5           
PRFSC707	SOPLADOR-6           
PRFSC708	SOPLADOR-7           
PRFSC709	SOPLADOR-8           
PRFSC710	VENT-FORZADO           
PRFSC711	BBACRUDO-1           
PRFSC712	BBACRUDO-2 C7      
PRFSC713	QUEMADN1C7           
PRFSC714	QUEMADN2C7           
PRFSC715	QUEMADN3C7           
PRFSC716	QUEMADN4C7           
PRFSC717	PRECALDEC7           
PRFSC8		Caldera 8  
PRFSC801	C. # 8  
PRFSCA		CABEZALES DE VAPOR
PRFSCA01	CABEZAL 600 PSI
PRFSCA03	CABEZAL 250 PSI
PRFSCA05	CABEZAL 80 PSI
PRFSCC		CUARTO RECIBIDOR DE CARBON
PRFSCC01	MOLINO PULVERIZADOR CARBON 1
PRFSCC02	MOLINO PULVERIZADOR CARBON 2
PRFSCC03	EXTRACTOR CUARTO CARBON
PRFSCC04	CUARTO RECIBIDOR DE CARBON
PRFSCC05	TRITURADOR MUESTRA CARBON
PRFSCG		BOMBEO QUIMICOS
PRFSCG17	BBA QUIMICOS CG
PRFSCR		ALMACENAMIENTO DE CRUDO
PRFSCR02	ALMACENA CRUDO CASTILL 2
PRFSCS		SISTEMA DE CONTROL PLANTA DE FUERZA
PRFSCS01	SISTEMA DE CONTROL PLANTA DE FUERZA
PRFSCS02	SISTEMA SCADA PLANTA DE FUERZA
PRFSCS03	SISTEMA DE CONTROL TURBOGENERADOR 3
PRFSCS04	SISTEMA DE CONTROL CALDERA 4
PRFSCS05	SISTEMA DE CONTROL CALDERA 5
